product_name,product_url,product_brand,product_image_url,product_image_type,product_image_name,product_code,product_description,product_unit_price,product_currency,product_discount_percentage,product_total_orders,product_stock_quantity,product_total_ratings,product_overall_stars,category_name
Bơ Sữa Phô Mai,https://thecoffeehouse.com/products/bo-sua-pho-mai,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355134_tcx-bo_d57bb98275564b72abf162875957dc01_grande.png,1,bơ sữa phô mai,TH-FR-001,"Món đồ uống lạnh Bơ Sữa Phô Mai là một trải nghiệm giải khát hoàn hảo trong những ngày hè nóng bỏng. Màu xanh lá tươi và hương thơm của sữa bò sẽ mang lại cảm giác thư giãn, làm cho bạn cảm thấy như đang được thưởng thức tại một quán cafe riêng.

Nước giải khát này có độ béo mịn đến từ việc kết hợp giữa sữa bò tươi và kem, tạo ra một vị ngon ngọt ngào. Bạn sẽ khó có thể cưỡng lại hương thơm của nó, khiến bạn phải đổ thêm một ly nữa.

Đặc biệt, Bơ Sữa Phô Mai được sản xuất với công nghệ hiện đại, đảm bảo chất lượng cao nhất cho người tiêu dùng. Món đồ uống này phù hợp với tất cả mọi người, từ những người yêu thích đồ uống lạnh đến những người đang tìm kiếm một món giải khát ngon và lành.

Tóm lại, Bơ Sữa Phô Mai là một món đồ uống lạnh hoàn hảo cho những ngày hè nóng bỏng. Cùng thưởng thức hương thơm ngào ngạt và độ béo mịn của nó!","{'product_sizes': 'S|M|L', 'product_prices': '55000|60000|65000'}",₫,0,477,50,8,2.3,Frosty
Dâu Phô Mai,https://thecoffeehouse.com/products/dau-pho-mai,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355127_tcx-dau_5db0bc95499642c88a362cc821654d74_grande.png,1,dâu phô mai,TH-FR-002,"Món đồ uống Dâu Phô Mai là một sự kết hợp hoàn hảo giữa vị ngon của dâu và hương thơm của phô mai. Đồ uống này được chế biến với công thức riêng biệt để mang lại trải nghiệm tuyệt vời cho người thưởng.

Khi mở chai, bạn sẽ ngửi thấy mùi phô mai tươi và ngọt ngào, đánh dấu màn hình đầu tiên trong hành trình thưởng thức. Sau đó, vị ngon của dâu sẽ được hiện ra, pha trộn cùng hương phô mai để tạo thành một cốc đồ uống vô cùng tuyệt vời.

Dâu Phô Mai là lựa chọn hoàn hảo cho những ngày hè nóng bỏng, khi bạn cần một cốc đồ uống mát và thơm ngào. Với giá chỉ 55000-65000 VND, Dâu Phô Mai là món đồ uống kinh tế và lý tưởng cho cả gia đình.","{'product_sizes': 'S|M|L', 'product_prices': '55000|60000|65000'}",₫,0,468,50,27,4.8,Frosty
Trà Xanh Latte (Nóng),https://thecoffeehouse.com/products/tra-xanh-latte-nong,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355604_tx-latte-nong_0a2a3d877a184569a96a87f876312393_grande.png,1,trà xanh latte (nóng),TH-TE-001,"Món đồ uống Trà Xanh Latte Nóng là sự kết hợp giữa trà xanh tươi và sữa, mang lại một hương vị đặc biệt và nóng bỏng. Màu sắc vàng óng của sản phẩm sẽ ngay lập tức hấp dẫn bạn.

Nước trà được pha trộn với sữa trong liều lượng vừa phải, tạo ra một hỗn hợp sánh mịt và thơm ngon. Cốt trà xanh được khai thác triệt để, mang lại một mùi hương nhẹ nhàng và tươi mát.

Khi uống Trà Xanh Latte Nóng, bạn sẽ cảm nhận ngay hương vị của trà xanh, kết hợp với độ nóng bỏng của sữa. Sản phẩm này đặc biệt phù hợp cho những người yêu thích đồ uống ấm áp và thơm ngon.

Trà Xanh Latte Nóng là lựa chọn tuyệt vời cho các ngày đông lạnh hoặc cho những người đang tìm kiếm một món đồ uống mới để thay đổi khẩu vị. Cùng trải nghiệm hương vị Trà Xanh Latte Nóng ngay hôm nay!","{'product_sizes': 'S|M|L', 'product_prices': '49000|54000|59000'}",₫,46,341,50,73,3.4,Tea
Trà Xanh Đường Đen,https://thecoffeehouse.com/products/tra-xanh-duong-den,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355592_tx-duong-den_8803dd180d564dc9ac6024e019c8234b_grande.png,1,trà xanh đường đen,TH-TE-002,"Món trà Trà Xanh Đường Đen là một loại trà được pha trộn với đường đen, tạo ra một hương vị thơm ngon và ngọt ngào. Khi bạn uống, bạn sẽ cảm nhận được hương vị của trà xanh tươi mới cùng với dư vị của đường đen, làm cho miệng bạn cảm thấy sạch sẽ và giải khát.

Trà này có thể dùng để thư giãn sau khi ăn, hoặc là món trà iced ngon để thưởng thức vào những ngày hè nóng bức. Bạn cũng có thể thêm chút sữa hay kem để tăng thêm hương vị và bớt bớt độ đắng của trà.

Món trà Trà Xanh Đường Đen là một lựa chọn tuyệt vời cho những người yêu thích trà xanh và muốn tìm kiếm một loại trà mới, lạ. Cùng trải nghiệm món trà này và hãy chia sẻ cảm nhận của bạn với chúng tôi!","{'product_sizes': 'S|M|L', 'product_prices': '55000|60000|65000'}",₫,7,56,50,25,2.6,Tea
Trà Xanh Espresso Marble,https://thecoffeehouse.com/products/tra-xanh-espresso-marble,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355620_tx-espresso-marble_d88cb1610a8b45668d53e0bc88b3cc2b_grande.png,1,trà xanh espresso marble,TH-TE-003,"Trà Xanh Espresso Marble - một trải nghiệm hương vị tuyệt vời cho những người yêu trà!

Dòng sản phẩm này mang lại sự kết hợp hoàn hảo giữa vị đậm của espresso và hương thơm tươi mát của trà xanh, tạo ra một thức uống mới lạ và kích thích.

Cái ly Trà Xanh Espresso Marble được chế biến với công thức đặc biệt, pha trộn tinh tế giữa chất lượng trà xanh tự nhiên và cà phê espresso. Mọi người sẽ bị cuốn hút bởi hương vị độc đáo, vừa có thể sảng khoái lại vừa có thể thư giãn.

Trà Xanh Espresso Marble là lựa chọn tuyệt vời cho những ai yêu thích trà nhưng cũng muốn thử trải nghiệm của cà phê. Cùng với hương vị thơm ngon, sản phẩm này còn được thiết kế trong chai ly tinh tế và đẹp mắt, giúp bạn có thể thưởng thức một cách thoải mái.

Mọi người đã đánh giá cao Trà Xanh Espresso Marble với điểm số 4,4/5 trên 42 đánh giá, chứng tỏ sản phẩm này thực sự là một lựa chọn tuyệt vời cho những ai yêu thích trà.","{'product_sizes': 'S|M|L', 'product_prices': '49000|54000|59000'}",₫,20,260,50,42,4.4,Tea
Trà Xanh Latte Sữa Yến Mạch,https://thecoffeehouse.com/products/tra-xanh-latte-sua-yen-mach,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355652_tx-latte-sym_5e8e85e4e645417e91a50857e1fa900e_grande.png,1,trà xanh latte sữa yến mạch,TH-TE-004,"Món đồ uống Trà Xanh Latte Sữa Yến Mạch - sự kết hợp hoàn hảo giữa hương vị trà xanh tươi và sữa yến mạch creamy. Khi bạn cầm ly này, tức khắc cảm nhận được sự thư giãn và thoải mái sau một ngày dài làm việc.

Hương vị trà xanh tươi được lấy từ những lá trà xanh được trồng trên núi cao, đảm bảo rằng độ tinh khiết của trà xanh được giữ nguyên. Sữa yến mạch creamy được chế biến theo công thức đặc biệt, mang lại độ mịn và mềm cho sản phẩm.

Sở dĩ Trà Xanh Latte Sữa Yến Mạch được yêu thích đến thế là vì hương vị của nó quá tuyệt vời. Hương trà xanh tươi được pha trộn với sữa yến mạch creamy tạo nên một hương vị độc đáo, mang lại cảm giác thư giãn và thoải mái cho người uống.

Ngay khi bạn thưởng thức Trà Xanh Latte Sữa Yến Mạch, bạn sẽ ngay lập tức cảm nhận được sự thay đổi về thể chất và tinh thần. Cảm xúc của bạn sẽ trở nên trân trọng hơn, và tinh thần sẽ được nuôi dưỡng.

Tóm lại, Trà Xanh Latte Sữa Yến Mạch là một món đồ uống tuyệt vời cho những ai yêu trà xanh và muốn thư giãn sau một ngày dài làm việc. Đừng bỏ qua cơ hội để thưởng thức hương vị đặc biệt này!","{'product_sizes': 'S|M|L', 'product_prices': '55000|60000|65000'}",₫,0,174,50,33,2.9,Tea
Trà Xanh Latte,https://thecoffeehouse.com/products/tra-xanh-latte,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355612_tx-latte_3bc7e129c7a64995bcdfed2f8e4ef380_grande.png,1,trà xanh latte,TH-TE-005,"Món trà xanh latte thơm ngon của chúng tôi sẽ đưa bạn vào một thế giới mới. Trà xanh được chọn lựa kỹ lưỡng và pha trộn với sữa tươi để tạo ra một hương vị ngọt ngào, mát mẻ. Khi thưởng thức, bạn sẽ cảm nhận được vị trà xanh nguyên chất, cùng với hơi ẩm của sữa, mang lại cho bạn một giây phút thư giãn hoàn hảo.

Vì sao trà xanh latte lại là món uống yêu thích của nhiều người? Bởi vì hương vị thơm ngon, tươi mới và dễ uống. Không chỉ thế, trà xanh còn có tác dụng tốt cho sức khỏe, giúp giảm stress và cải thiện tâm trạng.

Chúng tôi tin rằng mỗi cốc trà xanh latte sẽ mang lại cho bạn một giây phút hạnh phúc. Vì vậy, hãy cùng thưởng thức và cảm nhận hương vị tuyệt vời của chúng tôi.","{'product_sizes': 'S|M|L', 'product_prices': '45000|50000|55000'}",₫,0,261,50,111,2.9,Tea
Chocolate Đá,https://thecoffeehouse.com/products/chocolate-da,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355560_chocolate-da_9d2569bdbea84fd5829abb1b9dedc709_grande.png,1,chocolate đá,TH-TE-006,"Món trà Chocolate Đá là một trải nghiệm ẩm thực hoàn hảo cho những người yêu thích hương vị chocolate và đồ uống giải khát. Trà được pha trộn với tinh chất chocolate đậm, tạo nên một hương thơm cuốn hút và vị ngọt ngào. Khi thưởng thức, bạn sẽ cảm thấy như đang được chào đón bởi một ngày hè nắng ấm.

Trong mỗi ly trà, bạn có thể cảm nhận được những notes của chocolate sô cô la, hòa quyện với hương thảo và hoa quả. Món trà này phù hợp cho mọi thời điểm trong ngày, từ sáng sớm đến chiều tối, và thậm chí là vào ban đêm khi bạn cần một cốc trà để thư giãn.

Với công thức pha trộn đặc biệt, Chocolate Đá đã được yêu thích bởi nhiều người. Trà có thể được uống nóng hay lạnh, đều mang lại những trải nghiệm ẩm thực tuyệt vời. Nếu bạn đang tìm kiếm một món đồ uống mới và ngon, thì Chocolate Đá là lựa chọn tuyệt vời cho bạn.","{'product_sizes': 'S|M|L', 'product_prices': '55000|60000|65000'}",₫,36,221,50,32,4.1,Tea
Oolong Tứ Quý Sen,https://thecoffeehouse.com/products/oolong-tu-quy-sen,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356345_oolong-sen_0bbcc5560e2e4d599f82a0b152bcc222_grande.png,1,oolong tứ quý sen,TH-TE-007,"Món trà Oolong Tứ Quý Sen là một sự kết hợp hoàn hảo giữa vị ngọt của hoa sen và vị trà xanh sảng khoái. Trà được làm từ những lá trà oolong chất lượng cao, giúp tạo nên một hương thơm tinh tế và mát mẻ.

Ngay khi mở nắp, bạn sẽ được chào đón bởi một mùi hương dịu nhẹ, khơi dậy cảm giác thư giãn và thoải mái. Khi uống, trà Oolong Tứ Quý Sen mang lại một cảm giác sảng khoái, giúp đẩy lùi căng thẳng và mệt mỏi sau ngày dài.

Cốt lõi của trà này là sự cân bằng giữa vị ngọt của hoa sen và vị trà xanh sảng khoái, tạo nên một hương thơm độc đáo và khó quên. Trà có thể được uống nóng hay lạnh, tùy thuộc vào sở thích cá nhân của bạn.

Món trà Oolong Tứ Quý Sen phù hợp với mọi lứa tuổi, từ người lớn đến trẻ nhỏ. Nó là một lựa chọn tuyệt vời cho những ai yêu thích trà xanh và đang tìm kiếm một món thức uống mới để thay đổi hương vị mỗi ngày.

Tóm lại, trà Oolong Tứ Quý Sen là một sản phẩm trà xuất sắc, mang lại cảm giác thư giãn và thoải mái cho người dùng. Nơi đây có thể được thưởng thức mọi lúc, mọi nơi.","{'product_sizes': 'S|M|L', 'product_prices': '49000|54000|59000'}",₫,6,244,50,8,3.5,Tea
Oolong Tứ Quý Dâu Trân Châu,https://thecoffeehouse.com/products/oolong-tu-quy-dau-tran-chau,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356372_oolong-tu-quy-dau_ead67903b9004084a0cee99e33312d57_grande.png,1,oolong tứ quý dâu trân châu,TH-TE-008,"Món trà quý tộc Oolong Tứ Quý Dâu Trân Châu - sự hòa hợp giữa hương vị thiên nhiên và vẻ đẹp của Trung Hoa. Trà được làm từ những lá oolong hảo hạng nhất, kết hợp với công thức bí mật mang lại cho người uống một cảm giác thư giãn và hồi hộp.

Khi mở nắp chai, bạn sẽ ngay lập tức bị thu hút bởi mùi hương dịu dàng, như thể được đưa vào thế giới riêng của mình. Rất nhanh sau đó, vị trí trà sẽ phun lên, đem lại cảm giác tươi tắn, không khí trong lành, và sự thư giãn hoàn toàn.

Trà Oolong Tứ Quý Dâu Trân Châu là một trải nghiệm tuyệt vời cho những người yêu thích trà oolong và những ai tìm kiếm một món uống giải khát mới. Chất lượng trà hảo hạng, công thức bí mật, và hương vị thiên nhiên sẽ mang lại cho bạn một cảm giác thư giãn và hồi hộp trong suốt ngày.","{'product_sizes': 'S|M|L', 'product_prices': '49000|54000|59000'}",₫,0,389,50,81,3.9,Tea
