product_name,product_url,website_name,product_image,product_image_type,product_image_name,product_code,product_description,product_unit_price,product_currency,product_discount_percentage,product_total_orders,product_stock_quantity,product_total_ratings,product_overall_stars,category_name
Bơ Sữa Phô Mai,https://thecoffeehouse.com/products/bo-sua-pho-mai,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355134_tcx-bo_d57bb98275564b72abf162875957dc01_grande.png,1,bơ sữa phô mai,TH-FR-001,,55000,₫,0,296,50,80,4.4,Frosty
Dâu Phô Mai,https://thecoffeehouse.com/products/dau-pho-mai,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355127_tcx-dau_5db0bc95499642c88a362cc821654d74_grande.png,1,dâu phô mai,TH-FR-002,,55000,₫,44,342,50,102,4.5,Frosty
Trà Xanh Latte (Nóng),https://thecoffeehouse.com/products/tra-xanh-latte-nong,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355604_tx-latte-nong_0a2a3d877a184569a96a87f876312393_grande.png,1,trà xanh latte (nóng),TH-TE-001,,49000,₫,0,79,50,22,4.9,Tea
Trà Xanh Đường Đen,https://thecoffeehouse.com/products/tra-xanh-duong-den,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355592_tx-duong-den_8803dd180d564dc9ac6024e019c8234b_grande.png,1,trà xanh đường đen,TH-TE-002,,55000,₫,0,10,50,29,3.8,Tea
Trà Xanh Espresso Marble,https://thecoffeehouse.com/products/tra-xanh-espresso-marble,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355620_tx-espresso-marble_d88cb1610a8b45668d53e0bc88b3cc2b_grande.png,1,trà xanh espresso marble,TH-TE-003,,49000,₫,0,242,50,2,4.8,Tea
Trà Xanh Latte Sữa Yến Mạch,https://thecoffeehouse.com/products/tra-xanh-latte-sua-yen-mach,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355652_tx-latte-sym_5e8e85e4e645417e91a50857e1fa900e_grande.png,1,trà xanh latte sữa yến mạch,TH-TE-004,,55000,₫,0,277,50,16,4.3,Tea
Trà Xanh Latte,https://thecoffeehouse.com/products/tra-xanh-latte,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355612_tx-latte_3bc7e129c7a64995bcdfed2f8e4ef380_grande.png,1,trà xanh latte,TH-TE-005,,45000,₫,45,222,50,21,4.3,Tea
Chocolate Đá,https://thecoffeehouse.com/products/chocolate-da,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355560_chocolate-da_9d2569bdbea84fd5829abb1b9dedc709_grande.png,1,chocolate đá,TH-TE-006,,55000,₫,45,34,50,141,4.2,Tea
Oolong Tứ Quý Sen,https://thecoffeehouse.com/products/oolong-tu-quy-sen,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356345_oolong-sen_0bbcc5560e2e4d599f82a0b152bcc222_grande.png,1,oolong tứ quý sen,TH-TE-007,,49000,₫,0,430,50,4,4.7,Tea
Oolong Tứ Quý Dâu Trân Châu,https://thecoffeehouse.com/products/oolong-tu-quy-dau-tran-chau,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356372_oolong-tu-quy-dau_ead67903b9004084a0cee99e33312d57_grande.png,1,oolong tứ quý dâu trân châu,TH-TE-008,,49000,₫,0,87,50,165,3.9,Tea
Oolong Tứ Quý Kim Quất Trân Châu,https://thecoffeehouse.com/products/oolong-tu-quy-kim-quat-tran-chau,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356364_oolong-kim-quat-tran-chau_868486a049ba4e88a88be43abf6cf5fc_grande.png,1,oolong tứ quý kim quất trân châu,TH-TE-009,,49000,₫,13,143,50,31,3.1,Tea
Oolong Tứ Quý Vải,https://thecoffeehouse.com/products/oolong-tu-quy-vai,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356353_oolong-tu-quy-vai_56ba32db39ca48f986e716d1a2a8c447_grande.png,1,oolong tứ quý vải,TH-TE-010,,49000,₫,11,208,50,129,3.3,Tea
Chocolate Đá,https://thecoffeehouse.com/products/chocolate-da,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355560_chocolate-da_9d2569bdbea84fd5829abb1b9dedc709_grande.png,1,chocolate đá,TH-TE-011,,55000,₫,0,80,50,7,4.8,Tea
Chocolate Nóng,https://thecoffeehouse.com/products/chocolate-nong,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355571_chocolate-nong_422eb78454814a0c9f79ac8805449244_grande.png,1,chocolate nóng,TH-TE-012,,55000,₫,6,402,50,31,4.0,Tea
A-Mê Classic,https://thecoffeehouse.com/products/a-me-classic,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744032449_1737354959-ame-classic-400x400_fd01b10cd5874ffabf786bef742b9acf_grande.png,1,a-mê classic,TH-CO-001,,39000,₫,0,350,50,40,3.5,Coffee
A-Mê Mơ,https://thecoffeehouse.com/products/a-me-mo,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744032263_1737355001-ame-mo-400x400_d227031b24e94845bd7c203b60193ea9_grande.png,1,a-mê mơ,TH-CO-002,,45000,₫,6,392,50,39,3.3,Coffee
A-Mê Quất,https://thecoffeehouse.com/products/a-me-quat,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744032124_1737355011-ame-quat-400x400_247f133ec3764de38992089eb89161b0_grande.png,1,a-mê quất,TH-CO-003,,49000,₫,0,459,50,31,3.9,Coffee
A-Mê Tuyết Đào,https://thecoffeehouse.com/products/a-me-tuyet-dao,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744031998_1737355030-ame-tuyet-dao-400x400_6d1748248f2b48c1ae4bf124fe9e16b0_grande.png,1,a-mê tuyết đào,TH-CO-004,,59000,₫,0,476,50,93,3.0,Coffee
A-Mê Tuyết Mơ,https://thecoffeehouse.com/products/a-me-tuyet-mo,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744031902_1737355037-ame-tuyet-mo-400x400_ab440cb323ab4866b141e0e43adf0fc2_grande.png,1,a-mê tuyết mơ,TH-CO-005,,59000,₫,42,286,50,5,3.7,Coffee
A-Mê Tuyết Quất,https://thecoffeehouse.com/products/a-me-tuyet-quat,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744031754_1737355048-ame-tuyet-quat-400x400_ff4eff1fc1d4474ca1804976bfef9b62_grande.png,1,a-mê tuyết quất,TH-CO-006,,59000,₫,0,460,50,20,4.9,Coffee
