product_name,product_url,website_name,product_image,product_image_type,product_image_name,product_code,product_description,product_unit_price,product_currency,product_discount_percentage,product_total_orders,product_stock_quantity,product_total_ratings,product_overall_stars,category_name
Bơ Sữa Phô Mai,https://thecoffeehouse.com/products/bo-sua-pho-mai,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355134_tcx-bo_d57bb98275564b72abf162875957dc01_grande.png,1,bơ sữa phô mai,TH-FR-001,"Món đồ uống giải khát lý tưởng cho những ngày hè nóng bỏng là Bơ Sữa Phô Mai. Màu sắc bắt mắt của sản phẩm đã thu hút sự quan tâm của nhiều người dùng. Khi bạn mở nắp, sẽ có một cơn gió mát lạnh lan tỏa, kích thích vị giác và đánh thức vị trí của bạn.

Nước uống này được làm từ những nguyên liệu tươi ngon nhất, với hương thơm đặc biệt của bơ sữa Phô Mai. Mỗi liều thuốc đều được pha trộn kỹ lưỡng để đạt được tỷ lệ ngọt ngào vừa phải. Khẩu vị của sản phẩm này sẽ đưa bạn vào một thế giới mới, nơi bạn có thể thư giãn và giải trí sau những giờ làm việc căng thẳng.

Bơ Sữa Phô Mai là lựa chọn hoàn hảo cho những ai yêu thích đồ uống mát lạnh, thậm chí là cả những người không hay uống các loại thức uống khác. Sản phẩm này đã được nhiều người dùng thử nghiệm và đánh giá cao về hương vị thơm ngon, giúp bạn có thể thưởng thức một ngày hè nóng bỏng.

Tóm lại, Bơ Sữa Phô Mai là một sản phẩm giải khát lý tưởng cho những ai yêu thích đồ uống mát lạnh. Đừng bỏ lỡ cơ hội trải nghiệm sản phẩm này và cảm nhận được hương vị thơm ngon của nó!",55000,₫,0,400,50,30,2.3,Frosty
Dâu Phô Mai,https://thecoffeehouse.com/products/dau-pho-mai,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355127_tcx-dau_5db0bc95499642c88a362cc821654d74_grande.png,1,dâu phô mai,TH-FR-002,"Món uống mát lạnh Dâu Phô Mai là sự kết hợp hoàn hảo giữa hương vị dâu tây và phô mai, mang lại cho bạn một cuộc phiêu lưu trên đảo ẩm ướt.

Sự pha trộn kỳ diệu này sẽ kích thích vị giác của bạn ngay từ lần đầu tiên, sau đó là một cơn sóng mát lạnh lan rộng khắp người. Độ sảng khoái và độ ngọt được cân bằng hoàn hảo, khiến cho hương vị trở thành một trải nghiệm tuyệt vời.

Với Dâu Phô Mai, bạn có thể thưởng thức cuộc phiêu lưu trên đảo ẩm ướt với từng giọt uống, cảm nhận được sự thăng trần của hương vị. Tạm biệt những ngày oi bức và đón mừng những ngày mát lạnh, với Dâu Phô Mai - một món uống ngon nhất cho mùa hè.",55000,₫,0,177,50,19,2.5,Frosty
Trà Xanh Latte (Nóng),https://thecoffeehouse.com/products/tra-xanh-latte-nong,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355604_tx-latte-nong_0a2a3d877a184569a96a87f876312393_grande.png,1,trà xanh latte (nóng),TH-TE-001,"Món trà nóng yêu thích nhất trong suốt ngày dài!

Trà Xanh Latte (Nóng) là một giải pháp hoàn hảo cho những người yêu trà nhưng lại muốn thêm chút sôi động vào cuộc sống. Với hương vị thơm ngon của trà xanh, pha trộn với sữa và đường, bạn sẽ được thưởng thức một ly trà nóng vừa thơm vừa ngọt.

Món trà này mang lại cảm giác ấm áp và dễ chịu, giúp bạn thư giãn sau một ngày dài lao động. Ngoài ra, Trà Xanh Latte (Nóng) còn cung cấp nhiều lợi ích cho sức khỏe, ví dụ như giảm căng thẳng, tăng cường trí tuệ và bồi dưỡng thể chất.

Bây giờ, bạn có thể thưởng thức ly trà nóng thơm ngon này ngay tại nhà, nhờ vào gói pha chế tiện lợi. Đừng bỏ lỡ cơ hội để thử món trà yêu thích này!

(Tạm dịch: ""Your favorite hot tea set! Trà Xanh Latte (Nóng) is the perfect solution for those who love tea but want to add a bit of excitement to their lives. With the delicious flavor of green tea, mixed with milk and sugar, you will enjoy a hot cup of tea that is both sweet and savory."")",49000,₫,0,71,50,11,4.2,Tea
Trà Xanh Đường Đen,https://thecoffeehouse.com/products/tra-xanh-duong-den,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355592_tx-duong-den_8803dd180d564dc9ac6024e019c8234b_grande.png,1,trà xanh đường đen,TH-TE-002,"Món trà xanh đường đen này là một trải nghiệm tuyệt vời cho những người yêu trà. Trà được làm từ những lá trà xanh tươi tốt và thêm chút đường đen để tạo ra một hương vị độc đáo.

Khi mở hộp, bạn sẽ ngay lập tức cảm nhận được hương thơm của trà tươi, giúp tinh thần bạn thoải mái hơn. Khi uống, bạn sẽ được chinh phục bởi hương vị mellow và ngọt ngào của trà, kết hợp với vị cay nhẹ của đường đen tạo ra một tổng thể hài hòa.

Món trà này không chỉ là một thức uống ngon mà còn có nhiều lợi ích cho sức khỏe. Trà xanh được chứng minh là có tác dụng giảm stress, tăng cường trí não và giúp hệ miễn dịch stronger. Đường đen lại giúp điều chỉnh huyết áp và chống oxy hóa hiệu quả.

Với giá cả phải chăng và chất lượng cao, món trà xanh đường đen này chắc chắn sẽ là một lựa chọn hay cho những người yêu trà. Đừng ngần ngại thưởng thức món trà này và tận hưởng những phút thư giãn tuyệt vời!",55000,₫,0,411,50,76,4.5,Tea
Trà Xanh Espresso Marble,https://thecoffeehouse.com/products/tra-xanh-espresso-marble,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355620_tx-espresso-marble_d88cb1610a8b45668d53e0bc88b3cc2b_grande.png,1,trà xanh espresso marble,TH-TE-003,"Trà Xanh Espresso Marble là một trong những sản phẩm trà đặc biệt nhất trên thị trường. Trà này được làm từ những lá trà xanh chất lượng cao và kết hợp với cafe để tạo ra một hương vị độc đáo.

Màu sắc của Trà Xanh Espresso Marble là sự hòa nhập giữa màu xanh của trà và màu đen của cafe, tạo ra một vẻ đẹp thẩm mỹ cho người thưởng thức. Mùi hương của sản phẩm này rất phong phú, có mùi thơm của trà kết hợp với mùi vị đậm của cafe, tạo nên một trải nghiệm ngon miệng.

Sản phẩm Trà Xanh Espresso Marble được sản xuất với công nghệ hiện đại và chất lượng cao, đảm bảo rằng mỗi gói đều mang lại sự hài lòng cho người thưởng thức. Với giá trị 49.000 VND, Trà Xanh Espresso Marble là một món quà đặc biệt cho những người yêu trà và cafe.

Tóm lại, Trà Xanh Espresso Marble là một sản phẩm trà ngon miệng và độc đáo, mang lại trải nghiệm mới mẻ cho những người thưởng thức.",49000,₫,0,277,50,9,4.3,Tea
Trà Xanh Latte Sữa Yến Mạch,https://thecoffeehouse.com/products/tra-xanh-latte-sua-yen-mach,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355652_tx-latte-sym_5e8e85e4e645417e91a50857e1fa900e_grande.png,1,trà xanh latte sữa yến mạch,TH-TE-004,"Trà Xanh Latte Sữa Yến Mạch là một loại trà xanh ngon và thơm được pha chế với sữa yến mạch, mang lại cho bạn một cảm giác thoải mái và yên bình. Trà có màu xanh lá cây tươi và mùi hương tươi tắn, giúp bạn cảm thấy như đang ngồi trong vườn.

Khi uống trà, bạn sẽ cảm nhận được vị ngọt của trà xanh kết hợp với vị mịn mỏng của sữa yến mạch, tạo ra một hương thơm rất hấp dẫn. Trà có thể được thưởng thức vào bất kỳ thời điểm nào, từ sáng sớm cho đến chiều tân, là một lựa chọn tuyệt vời để giúp bạn thư giãn và hồi phục sau một ngày dài.

Tóm lại, Trà Xanh Latte Sữa Yến Mạch là một sản phẩm trà xanh ngon và độc đáo, đáp ứng nhu cầu của những người yêu thích trà xanh và muốn thưởng thức một tách trà thơm và ngon.",55000,₫,20,39,50,39,4.8,Tea
Trà Xanh Latte,https://thecoffeehouse.com/products/tra-xanh-latte,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355612_tx-latte_3bc7e129c7a64995bcdfed2f8e4ef380_grande.png,1,trà xanh latte,TH-TE-005,"Món trà đặc biệt Trà Xanh Latte với hương thơm thoáng và vị ngọt ngào. Một món uống hoàn hảo cho những người yêu thích trà nóng, vừa có thể thưởng thức như một món quà cho bản thân lại vừa có thể chia sẻ với bạn bè.

Trà xanh latte của chúng tôi được pha trộn từ các hạt trà xanh chất lượng cao, hòa quyện với sữa tươi và đường, tạo ra một hương vị tuyệt vời. Khi uống, bạn sẽ cảm nhận được vị nhẹ nhàng, mát lạnh của trà xanh, kết hợp với vị ngọt ngào của sữa tươi.

Món trà này thích hợp cho tất cả người yêu thích món uống ngon, đặc biệt là những người yêu thích trà nóng và sữa tươi. Bạn có thể thưởng thức nó trong những ngày mát mẻ hay dùng làm quà tặng cho bạn bè.

Lưu ý: Món trà Trà Xanh Latte của chúng tôi được sản xuất theo quy trình nghiêm ngặt, đảm bảo chất lượng và an toàn cho người sử dụng.",45000,₫,0,371,50,43,3.1,Tea
Chocolate Đá,https://thecoffeehouse.com/products/chocolate-da,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355560_chocolate-da_9d2569bdbea84fd5829abb1b9dedc709_grande.png,1,chocolate đá,TH-TE-006,"Món trà đặc biệt Chocolate Đá mang lại cho bạn một trải nghiệm thưởng thức trà ngon và mới lạ. Trà được làm từ những lá trà xanh chất lượng cao kết hợp với bột cacao thơm ngon, tạo ra một hương vị quyến rũ và phong phú.

Khi thưởng thức Chocolate Đá, bạn sẽ cảm nhận được hương vị trà nhẹ nhàng cùng với mùi vị chocolate đặc biệt, tạo nên một trải nghiệm thưởng thức trà tuyệt vời. Trà có độ ngọt vừa phải, không quá ngọt và không quá bùi, mang lại cho bạn một cảm giác thư giãn sau mỗi lần thưởng thức.

Chocolate Đá là lựa chọn hoàn hảo cho những người yêu trà và Chocolate, muốn được thưởng thức một món trà ngon và mới lạ. Trà này cũng rất phù hợp để dùng trong các bữa tiệc gia đình, họp mặt với bạn bè hay sử dụng trong ngày hè nóng bức.

Tóm lại, Chocolate Đá là một sản phẩm trà đặc biệt với hương vị quyến rũ và phong phú, mang lại cho bạn một trải nghiệm thưởng thức trà tuyệt vời.",55000,₫,30,155,50,94,3.3,Tea
Oolong Tứ Quý Sen,https://thecoffeehouse.com/products/oolong-tu-quy-sen,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356345_oolong-sen_0bbcc5560e2e4d599f82a0b152bcc222_grande.png,1,oolong tứ quý sen,TH-TE-007,"Giá trị đích thực của cuộc sống là sự kết hợp giữa thanh lịch và悠悠. Oolong Tứ Quý Sen mang lại cho bạn trải nghiệm hoàn hảo trong mỗi giây phút với hương vị trà Oolong đặc biệt, được chế biến từ những lá trà xanh tươi nhất.

Màu sắc của trà là một sự kết hợp hài hòa giữa vàng và xanh lá, mang lại cảm giác thư thái và cân bằng. Hương thơm của trà là một sự pha trộn tinh tế giữa các mùi như hoa sen, hương trà và một chút ngọt ngào, làm cho bạn có thể thưởng thức trong từng giây phút.

Khi uống, Oolong Tứ Quý Sen sẽ được cảm nhận rõ ràng rằng nó đã được chế biến với tâm huyết và tình yêu. Trà này mang lại cho bạn một cảm giác thư thái và thoải mái, như đang ngồi trên một bờ hồ mát lạnh ngày hè. Cảm giác này không chỉ dừng ở mức độ vật lý, mà còn được phản ánh trong tinh thần của bạn.

Oolong Tứ Quý Sen là một loại trà Oolong đặc biệt, được chế biến từ những lá trà xanh tươi nhất và mang lại cho bạn trải nghiệm hoàn hảo trong mỗi giây phút. Đừng bỏ qua cơ hội để thưởng thức loại trà này và cảm nhận được giá trị đích thực của cuộc sống.",49000,₫,0,114,50,16,4.0,Tea
Oolong Tứ Quý Dâu Trân Châu,https://thecoffeehouse.com/products/oolong-tu-quy-dau-tran-chau,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356372_oolong-tu-quy-dau_ead67903b9004084a0cee99e33312d57_grande.png,1,oolong tứ quý dâu trân châu,TH-TE-008,"""Một chai trà Oolong Tứ Quý Dâu Trân Châu mang lại cho bạn một cảm giác thư giãn và tươi mát. Thể loại trà này được làm từ những lá trà xanh tốt nhất, được phối hợp với công thức đặc biệt để tạo ra hương vị độc đáo.

Trà Oolong Tứ Quý Dâu Trân Châu có hương vị mềm mại, dịu dàng, mang lại cảm giác thư giãn và tươi mát cho người uống. Khi thưởng trà, bạn sẽ cảm nhận được một chút ngọt ngào và một chút cay nhẹ, tạo ra một trải nghiệm uống trà tuyệt vời.

Với công thức đặc biệt và nguyên liệu tốt nhất, Oolong Tứ Quý Dâu Trân Châu là một lựa chọn hoàn hảo cho những ai yêu thích trà và muốn thưởng thức hương vị độc đáo. Đừng bỏ qua cơ hội để thử loại trà này!""",49000,₫,0,36,50,34,3.2,Tea
