product_name,product_url,product_brand,category_name,product_image,product_image_type,product_image_name,product_code,product_description,product_unit_price,product_currency,product_discount_percentage,product_total_orders,product_stock_quantity,product_total_ratings,product_overall_stars
Bingsu Cà Phê,https://igloo.com.vn/bingsu-ca-phe,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-20-4367.png,1,Bingsu Cà Phê,IG-BI-001,"Sự đậm đà lớp kem cà phê thơm lừng, hạnh nhân thơm bùi và socola chip giòn rụm tạo nên món tráng miệng hoàn hảo mà những tín đồ yêu thích cà phê không thể bỏ qua.","{'product_sizes': 'S|M|L', 'product_prices': '89000|94000|99000'}",₫,0,51,50,10,4.1
Bingsu Kiwi Dâu,https://igloo.com.vn/bingsu-kiwi-dau,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-17-7361.png,1,Bingsu Kiwi Dâu,IG-BI-002,"Sự kết hợp tươi mới giữa kiwi chua dịu và dâu tây đỏ mọng. Được hoàn thiện với bông kem, bánh giòn tan và sốt dâu ngọt ngào.","{'product_sizes': 'S|M|L', 'product_prices': '89000|94000|99000'}",₫,26,375,50,3,3.7
Bingsu Trái Cây Nhiệt Đới,https://igloo.com.vn/bingsu-trai-cay-nhiet-doi,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-18-7207.png,1,Bingsu Trái Cây Nhiệt Đới,IG-BI-003,"Sự kết hợp hoàn hảo giữa lớp kem tuyết và hương vị tươi mát của trái cây nhiệt đới, hòa quyện với vị ngọt của siro trái cây và một chút kem sữa béo ngậy.","{'product_sizes': 'S|M|L', 'product_prices': '99000|104000|109000'}",₫,0,405,50,5,3.6
Bingsu Socola Koko Matcha,https://igloo.com.vn/bingsu-socola-koko-matcha,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/o-vuong-3-1032.png,1,Bingsu Socola Koko Matcha,IG-BI-004,"Sự kết hợp của matcha đậu đỏ thơm lừng, kem socola đậm đà, bánh Koko giòn tan và kem cheese béo ngậy say đắm lòng thực khách.","{'product_sizes': 'S|M|L', 'product_prices': '89000|94000|99000'}",₫,37,492,50,3,4.7
Bingsu Kiwi Xoài,https://igloo.com.vn/bingsu-kiwi-xoai,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-11-1537.png,1,Bingsu Kiwi Xoài,IG-BI-005,"Với lớp kem tuyết mịn được phủ các lát kiwi chua dịu và xoài tươi ngọt lịm. Sự kết hợp hoàn hảo tạo nên một trải nghiệm mát lạnh, thơm ngon.","{'product_sizes': 'S|M|L', 'product_prices': '89000|94000|99000'}",₫,0,204,50,23,3.3
Bingsu Dâu Bơ,https://igloo.com.vn/bingsu-dau-bo,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-16-2215.png,1,Bingsu Dâu Bơ,IG-BI-006,Sự cân bằng hoàn hảo giữa bơ béo ngậy và dâu tây mọng nước. Kết hợp cùng bông kem mịn màng và sốt dâu ngọt ngào tạo nên món tráng miệng đầy hấp dẫn.,"{'product_sizes': 'S|M|L', 'product_prices': '89000|94000|99000'}",₫,0,279,50,3,4.9
Bingsu Dưa Lưới,https://igloo.com.vn/bingsu-dua-luoi,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/o-vuong-1-8424.png,1,Bingsu Dưa Lưới,IG-BI-007,"Với lớp bingsu mịn màng được bào trực tiếp từ kem và dưa lưới tươi mát được thái thành ô vuông, bổ sung thành vị ngọt tự nhiên và hương thơm dễ chịu.","{'product_sizes': 'S|M|L', 'product_prices': '89000|94000|99000'}",₫,36,315,50,14,4.7
Bingsu Socola Bơ,https://igloo.com.vn/bingsu-socola-bo,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-15-9749.png,1,Bingsu Socola Bơ,IG-BI-008,"Món tráng miệng đầy quyến rũ với kem bào mịn, bơ tươi thơm bùi và sốt socola đậm đà. Hoàn thiện với bông kem béo ngậy, ốc quế và bánh Cream-O giòn tan mang đến trải nghiệm ngọt ngào.","{'product_sizes': 'S|M|L', 'product_prices': '89000|94000|99000'}",₫,17,146,50,67,3.3
Bingsu Dưa Hấu,https://igloo.com.vn/bingsu-dua-hau,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/32-5004.png,1,Bingsu Dưa Hấu,IG-BI-009,Món kem giải nhiệt là sự kết hợp tuyệt vời giữa độ lạnh của kem tuyết và vị ngọt thanh của dưa hấu. Đơn giản nhưng không kém phần thu hút.,"{'product_sizes': 'S|M|L', 'product_prices': '89000|94000|99000'}",₫,0,198,50,21,4.7
Bingsu Sữa Tươi Cà Phê,https://igloo.com.vn/cafe-sua-chua,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-8-5020.png,1,Bingsu Sữa Tươi Cà Phê,IG-BI-010,"Sự giao thoa giữa sữa tươi và hương cà phê lôi cuốn. Kết hợp cùng bông kem béo ngậy, hạnh nhân và socola chip mang đến một hương vị mê hoặc.","{'product_sizes': 'S|M|L', 'product_prices': '89000|94000|99000'}",₫,29,148,50,5,3.1
