product_name,product_url,product_brand,product_image_url,product_image_type,product_image_name,product_code,product_description,product_unit_price,product_currency,product_discount_percentage,product_total_orders,product_stock_quantity,product_total_ratings,product_overall_stars,category_name
Earl Grey Cloud,https://tljus.com/menus/cakes/earl-grey-cloud,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/6581e6d668e2a79cbb8f4f1f_Earl%20Grey%20Cloud.png,1,,TL-CA-001," 

Earl Grey Cloud là sự lựa chọn hoàn hảo của những tín đồ yêu thích hương vị tinh tế và phức tạp. Sự kết hợp của hương vị tinh tế từ cam tươi và hương gỗ ngọt ngào tạo nên một cảm giác thư giãn, thoải mái trên đầu lưỡi.

Không chỉ dừng lại ở đó, thành phần chất lượng cao trong mỗi chiếc bánh sẽ mang đến cho bạn những trải nghiệm ẩm thực tuyệt vời nhất. Bột mì hảo hạng đảm bảo độ mềm mịn hoàn hảo khi nướng lên, kem tươi béo ngậy được đánh bông thủ công từ các nguyên liệu tự nhiên để giữ trọn hương vị tinh túy của từng thành phần.

Với thiết kế bắt mắt và sang trọng, Earl Grey Cloud sẽ là món quà ý nghĩa dành tặng những người thân yêu. Với lớp kem tươi phủ trên bề mặt bánh mềm mịn như mây cùng với một chút hương gỗ tinh tế chắc chắn bạn không thể chối từ trước sức hấp dẫn của sản phẩm này.

Đừng bỏ lỡ cơ hội thưởng thức sự kết hợp hoàn hảo giữa hương vị cam tươi và hương gỗ ngọt ngào trong Earl Grey Cloud. Hãy đặt hàng ngay hôm nay để trải nghiệm những giây phút tuyệt vời cùng sản phẩm bánh ngọt đặc biệt này!","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,29,340,50,128,4.1,Cakes
Blueberry Yogurt #3,https://tljus.com/menus/cakes/blueberry-yogurt-3,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/6581e69407c4c2d74c57e7ae_Blueberry(3,1,,TL-CA-002,"

Blueberry Yogurt là một loại sữa chua có hương vị đặc biệt được làm từ sữa chua tự nhiên, đường bột và chiết xuất vani. Mỗi khẩu phần Blueberry Yogurt cung cấp hơn 100 calo năng lượng, 10g protein, 10g chất béo lành mạnh (trong đó có 4g axit béo không bão hòa đơn và 3g axit béo không bão hòa đa), cũng như các vitamin và khoáng chất thiết yếu cho cơ thể.

Hương vị của Blueberry Yogurt rất thanh mát và ngọt ngào. Vị chua dịu nhẹ từ quả việt quất kết hợp với vị ngọt tự nhiên từ đường bột tạo nên một hương vị độc đáo vừa thơm ngon lại tốt cho sức khỏe. Sữa chua có màu trắng mịn, sánh đặc, không quá lỏng hay quá đặc như một số loại sữa chua khác.

Blueberry Yogurt là sản phẩm lành mạnh giúp bạn bổ sung các chất dinh dưỡng thiết yếu hàng ngày và cung cấp năng lượng tức thì để bắt đầu ngày mới đầy hứng khởi. Bạn có thể thưởng thức Blueberry Yogurt với bánh quy, bột yến mạch hoặc dùng làm nước sốt chấm cho trái cây tươi.

Với Blueberry Yogurt của chúng tôi, bạn không chỉ được thưởng thức một loại đồ ngọt thơm ngon mà còn mang lại nhiều lợi ích sức khỏe và giúp cung cấp năng lượng lành mạnh hàng ngày. Hãy thử ngay hôm nay để cảm nhận sự khác biệt!","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,10,470,50,16,4.3,Cakes
Blueberry Yogurt #2,https://tljus.com/menus/cakes/blueberry-yogurt-2,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/6581e674702c5050db738730_Blueberry(2,1,,TL-CA-003,"

Blueberry Yogurt 2 là một sản phẩm bánh kem đặc biệt, cung cấp hương vị thơm ngon và béo ngậy của sữa chua, kết hợp với vị chua ngọt tự nhiên từ quả việt quất. Sản phẩm được làm hoàn toàn từ nguyên liệu chất lượng cao nhất như bột mì, đường, bơ không muối, trứng gà tươi, sữa bò tiệt trùng, bột nở, vani tự nhiên và màu thực phẩm an toàn.

Blueberry Yogurt 2 mang đến cảm giác mềm mịn khi ăn trên đầu lưỡi cùng hương thơm đặc trưng của quả việt quất. Sản phẩm còn được phủ lên lớp đường trắng tinh tế tạo nên sự ngọt ngào nhưng không quá ngấy cho món bánh kem này. 

Với thiết kế sang trọng và hiện đại, Blueberry Yogurt 2 là lựa chọn hoàn hảo để thưởng thức trong những buổi tiệc nhẹ hoặc gặp gỡ bạn bè vào cuối tuần. Hãy thử sản phẩm của chúng tôi ngay hôm nay và trải nghiệm sự kết hợp tuyệt vời giữa hương vị thơm ngon và sự giòn tan trên đầu lưỡi!","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,374,50,22,4.4,Cakes
Strawberry Lychee,https://tljus.com/menus/cakes/strawberry-lychee,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/6581e5aef5c94a91c721ab19_StrawberryLychee.png,1,,TL-CA-004,"

Strawberry Lychees là một hương liệu đa dạng, hấp dẫn và sáng tạo được làm từ những nguyên liệu chất lượng cao. Chúng tôi tự hào giới thiệu đến các bạn sản phẩm Strawberry Lychee - món đồ ngọt vừa thơm ngon lại bổ dưỡng.

Với thành phần chính gồm dâu tây tươi và quả vải chín mọng, Strawberry Lychees mang trong mình hương vị ngọt ngào của quả tươi kết hợp cùng chút chua thanh từ dâu. Khi thưởng thức, bạn sẽ cảm nhận được sự cân bằng hoàn hảo giữa vị ngọt lẫn vị chua đặc trưng, tạo nên một trải nghiệm khó quên.

Không chỉ có vị ngon tuyệt vời mà Strawberry Lychees còn mang trong mình nguồn dinh dưỡng dồi dào khi kết hợp hai thành phần chính là dâu tây và quả vải. Theo nghiên cứu của các chuyên gia dinh dưỡng, dâu tây được biết đến với khả năng tăng cường hệ miễn dịch cho cơ thể đồng thời chứa nhiều vitamin C cùng chất chống oxy hóa có lợi.

Còn quả vải lại sở hữu vị ngọt thanh tự nhiên từ thiên nhiên không chỉ mang lại cảm giác tươi mát mà còn cung cấp nguồn năng lượng dồi dào và các dưỡng chất thiết yếu như vitamin, khoáng chất. Kết hợp hai loại nguyên liệu này tạo nên sản phẩm Strawberry Lychees - món đồ ngọt thơm ngon vừa làm hài lòng khẩu vị của bạn đồng thời hỗ trợ sức khỏe.

Với hương liệu đa dạng, Strawberry Lychees không chỉ là một lựa chọn hấp dẫn cho những người yêu thích đồ ngọt mà còn trở thành nguồn cảm hứng sáng tạo mới lạ trong ẩm thực. Sản phẩm hiện đã có mặt tại các cửa hàng và nhà bán lẻ trên toàn quốc với mức giá hợp lý.

Hãy thưởng thức Strawberry Lychees để trải nghiệm sự kết hợp hoàn hảo giữa vị ngọt ngào của quả tươi cùng chút chua nhẹ từ dâu tây, mang lại cảm giác sảng khoái cho cơ thể.","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,133,50,125,4.8,Cakes
Strawberry Gateau,https://tljus.com/menus/cakes/strawberry-gateau,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/6581e567f5c3924368a84e44_Strawberry%20Gateau.png,1,,TL-CA-005,"

Strawberry Gateau là một loại bánh nướng ngọt ngào và hấp dẫn, được làm từ dâu tây tươi. Bánh có lớp vỏ ngoài giòn tan cùng nhân kem sánh mịn ở giữa.

Thành phần:
- Bột mì: 250g (có thể sử dụng bột mì đa dụng hoặc bột mì đặc biệt cho bánh gato)
- Đường trắng: 100g
- Bơ lạt: 80g
- Trứng gà: 3 quả trứng lớn
- Dâu tây tươi: 120ml, tùy chọn

Cách làm:

1. Chuẩn bị nguyên liệu: Trộn đều bột mì và đường trong một tô to.
2. Đánh tan bơ với trứng rồi thêm vào hỗn hợp bột mì cho đến khi hỗn hợp trở nên mịn màng.
3. Thêm dâu tây thái nhỏ (hoặc nước ép từ dâu tây) tùy theo sở thích của bạn, sau đó trộn đều để tạo thành lớp kem tươi trên cùng của bánh gateau.
4. Đổ hỗn hợp bột mì lên phần kem đã chuẩn bị và dàn đều ra bề mặt làm việc bằng cây cán bột hoặc máy làm bánh.
5. Nướng trong lò khoảng 45-50 phút ở nhiệt độ 180°C đến khi vỏ bánh chín vàng, nhân kem đông lại là được. 

Bánh Strawberry Gateau thơm ngon với lớp vỏ giòn tan cùng phần kem tươi sánh mịn sẽ mang đến cho bạn và gia đình những khoảnh khắc ngọt ngào nhất!","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,293,50,58,2.9,Cakes
Cloud Cake #3,https://tljus.com/menus/cakes/cloud-cake-3,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade9_Screenshot%202023-05-15%20at%2012.12.18%20PM.png,1,,TL-CA-006,"Cloud cream[heavy cream(milk), whipped cream, sugar],
White cake sheet(whole egg, wheat flour, sugar, egg white,
milk, corn syrup, shortening, margarine, emulsifying agent,
corn starch, baking powder, salt, citric acid, xanthan gum),
Strawberry, Simple syrup(water, sugar, lemon juice), Green
grapes, Red grapes, Blackberry, Blueberry, Raspberry, Glaze,
Chocolate sign board(dark)","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,394,50,31,4,Cakes
Cloud Cake #2,https://tljus.com/menus/cakes/cloud-cake-2,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade8_Screenshot%202023-05-15%20at%2011.57.36%20AM.png,1,,TL-CA-007,"Cloud cream[heavy cream(milk), whipped cream, sugar],
White cake sheet(whole egg, wheat flour, sugar, egg white,
milk, corn syrup, shortening, margarine, emulsifying agent,
corn starch, baking powder, salt, citric acid, xanthan gum),
Strawberry, Red grapes, Simple syrup(water, sugar, lemon
juice), Blackberry, Blueberry, Raspberry, Glaze","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,288,50,43,3.3,Cakes
Strawberry Cloud Cake,https://tljus.com/menus/cakes/strawberry-cloud-cake,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade6_Strawberry%20Cloud%20Cake.webp,1,,TL-CA-008,"Strawberry cloud cream(heavy cream, whipping cream, sugar, strawberry syrup), Strawberry cake sheet[liquid egg, sugar, wheat flour, butter, strawberry syrup, strawberry powder, emulsifying agent, baking powder, sea salt, food coloring(pink)], Strawberry, Simple syrup (water, sugar, lemon), Red grape, Blueberry, Decorative chocolate, Glaze","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,35,166,50,4,2.3,Cakes
Green Tea Cloud Cake,https://tljus.com/menus/cakes/green-tea-cloud-cake,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade5_Green%20Tea%20Cloud%20Cake.webp,1,,TL-CA-009,"Green tea cake sheet(liquid egg, sugar, wheat flour, butter, green tea powder, emulsifying agent, baking powder, sea salt, food color), Cloud cream[heavy cream(milk), whipping cream, sugar], Strawberry, Simple syrup (water, sugar, lemon), Green tea sheet crumb, Blackberry, Green grape, Raspberry, Blueberry, Glaze","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,26,460,50,2,4.1,Cakes
Peach Cream Cake,https://tljus.com/menus/cakes/peach-cream-cake,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade4_Peach%20Cream%20Cake.webp,1,,TL-CA-010,"Cream, Whole egg, Whipping cream, Apricot jam, Sugar, Frozen peach, White chocolate, Wheat flour, Water, Milk, Coating chocolate, Yogurt powder, Corn syrup, Shortening, Margarine, Cheese, Emulsifying agent, Corn starch, Baking powder, Peach flavored syrup, Salt, Cake stabilizer, Citric acid, Xanthan gum, Sugar powder","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,20,8,50,61,4.7,Cakes
